tree,M,range_type,low,high,range_count,male_count,avg_gpa,avg_height,range_time_ms
BTree,3,Small,202000000,202020000,2863,1449,3.29311,173.952,0.787
BTree,3,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.873458
BTree,3,Large,202000000,202300000,43016,21568,3.28314,174.034,1.26258
BStarTree,3,Small,202000000,202020000,2863,1449,3.29311,173.952,0.508166
BStarTree,3,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.628042
BStarTree,3,Large,202000000,202300000,43016,21568,3.28314,174.034,0.994834
BPlusTree,3,Small,202000000,202020000,2863,1449,3.29311,173.952,0.08425
BPlusTree,3,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.312042
BPlusTree,3,Large,202000000,202300000,43016,21568,3.28314,174.034,0.867666
BTree,5,Small,202000000,202020000,2863,1449,3.29311,173.952,0.558875
BTree,5,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.621292
BTree,5,Large,202000000,202300000,43016,21568,3.28314,174.034,0.9695
BStarTree,5,Small,202000000,202020000,2863,1449,3.29311,173.952,0.39175
BStarTree,5,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.511583
BStarTree,5,Large,202000000,202300000,43016,21568,3.28314,174.034,0.869375
BPlusTree,5,Small,202000000,202020000,2863,1449,3.29311,173.952,0.063834
BPlusTree,5,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.241792
BPlusTree,5,Large,202000000,202300000,43016,21568,3.28314,174.034,0.688459
BTree,10,Small,202000000,202020000,2863,1449,3.29311,173.952,0.35525
BTree,10,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.48725
BTree,10,Large,202000000,202300000,43016,21568,3.28314,174.034,0.913417
BStarTree,10,Small,202000000,202020000,2863,1449,3.29311,173.952,0.248417
BStarTree,10,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.410042
BStarTree,10,Large,202000000,202300000,43016,21568,3.28314,174.034,0.808166
BPlusTree,10,Small,202000000,202020000,2863,1449,3.29311,173.952,0.063333
BPlusTree,10,Medium,202000000,202100000,14317,7215,3.27847,174.058,0.230083
BPlusTree,10,Large,202000000,202300000,43016,21568,3.28314,174.034,0.653125
