tree,M,query_type,search_mean_us,found_count
BTree,3,Successful,0.160658,10000
BTree,3,Unsuccessful,0.0298958,0
BStarTree,3,Successful,0.1338,10000
BStarTree,3,Unsuccessful,0.0302458,0
BPlusTree,3,Successful,0.244621,10000
BPlusTree,3,Unsuccessful,0.0231875,0
BTree,5,Successful,0.14355,10000
BTree,5,Unsuccessful,0.0428708,0
BStarTree,5,Successful,0.120692,10000
BStarTree,5,Unsuccessful,0.031375,0
BPlusTree,5,Successful,0.119433,10000
BPlusTree,5,Unsuccessful,0.0230208,0
BTree,10,Successful,0.104154,10000
BTree,10,Unsuccessful,0.043675,0
BStarTree,10,Successful,0.0977584,10000
BStarTree,10,Unsuccessful,0.0441542,0
BPlusTree,10,Successful,0.100883,10000
BPlusTree,10,Unsuccessful,0.0360333,0
